Time step, X values, Set 1 Solution, Set 1 Analytical, Set 1 Error, Set 2 Solution, Set 2 Analytical, Set 2 Error
5, -50,0,0,0,0,0,0
5, -48.9899,0,0,0,0,0,0
5, -47.9798,0,0,0,0,0,0
5, -46.9697,0,0,0,0,0,0
5, -45.9596,0,0,0,0,0,0
5, -44.9495,0,0,0,0,0,0
5, -43.9394,0,0,0,0,0,0
5, -42.9293,0,0,0,0,0,0
5, -41.9192,0,0,0,0,0,0
5, -40.9091,0,0,0,0,0,0
5, -39.899,0,0,0,0,0,0
5, -38.8889,0,0,0,0,0,0
5, -37.8788,0,0,0,0,0,0
5, -36.8687,0,0,0,0,0,0
5, -35.8586,0,0,0,0,0,0
5, -34.8485,0,0,0,0,0,0
5, -33.8384,0,0,0,0,0,0
5, -32.8283,0,0,0,0,0,0
5, -31.8182,0,0,0,0,0,0
5, -30.8081,0,0,0,0,0,0
5, -29.798,0,0,0,0,0,0
5, -28.7879,0,0,0,0,0,0
5, -27.7778,0,0,0,0,0,0
5, -26.7677,0,0,0,0,0,0
5, -25.7576,0,0,0,0,0,0
5, -24.7475,0,0,0,0,0,0
5, -23.7374,0,0,0,-1.58676e-317,1.92343e-318,-1.7791e-317
5, -22.7273,0,0,0,-4.46972e-298,5.41816e-299,-5.01154e-298
5, -21.7172,0,0,0,-3.0603e-279,3.70973e-280,-3.43128e-279
5, -20.7071,0,0,0,-5.09286e-261,6.17375e-262,-5.71024e-261
5, -19.697,0,0,0,-2.06003e-243,2.4973e-244,-2.30976e-243
5, -18.6869,0,0,0,-2.02533e-226,2.45533e-227,-2.27087e-226
5, -17.6768,0,0,0,-4.83985e-210,5.86763e-211,-5.42661e-210
5, -16.6667,0,0,0,-2.81111e-194,3.40826e-195,-3.15194e-194
5, -15.6566,0,0,0,-3.96856e-179,4.81191e-180,-4.44975e-179
5, -14.6465,0,0,0,-1.36175e-164,1.65127e-165,-1.52687e-164
5, -13.6364,0,0,0,-1.1357e-150,1.37732e-151,-1.27343e-150
5, -12.6263,0,0,0,-2.30215e-137,2.79234e-138,-2.58138e-137
5, -11.6162,0,0,0,-1.13423e-124,1.37599e-125,-1.27183e-124
5, -10.6061,0,0,0,-1.3582e-112,1.64809e-113,-1.52301e-112
5, -9.59596,0,0,0,-3.95287e-101,4.798e-102,-4.43267e-101
5, -8.58586,0,0,0,-2.79602e-90,3.39512e-91,-3.13553e-90
5, -7.57576,0,0,0,-4.8066e-80,5.83938e-81,-5.39054e-80
5, -6.56566,0,0,0,-2.00813e-70,2.44115e-71,-2.25224e-70
5, -5.55556,0,0,0,-2.03885e-61,2.48048e-62,-2.2869e-61
5, -4.54545,0,0,0,-5.03033e-53,6.12626e-54,-5.64295e-53
5, -3.53535,0,0,0,-3.01578e-45,3.67764e-46,-3.38354e-45
5, -2.52525,0,0,0,-4.39296e-38,5.36611e-39,-4.92957e-38
5, -1.51515,0,0,0,-1.55463e-31,1.90312e-32,-1.74494e-31
5, -0.505051,0,0,0,-1.33644e-25,1.64054e-26,-1.50049e-25
5, 0.505051,0,0,0,-2.79029e-20,3.43735e-21,-3.13402e-20
5, 1.51515,0,0,0,-1.41459e-15,1.75056e-16,-1.58965e-15
5, 2.52525,0,0,0,-1.74089e-11,2.16694e-12,-1.95759e-11
5, 3.53535,0,0,0,-5.19903e-08,6.51974e-09,-5.851e-08
5, 4.54545,0,0,0,-3.76637e-05,4.76794e-06,-4.24316e-05
5, 5.55556,0,0,0,-0.00661799,0.000847514,-0.0074655
5, 6.56566,0,0,0,-0.282454,0.0366167,-0.319071
5, 7.57576,0,0,0,-2.95265,0.384526,-3.33718
5, 8.58586,0,0,0,-7.84018,0.981498,-8.82168
5, 9.59596,1.75,1,0.75,-5.99218,0.608932,-6.60112
5, 10.6061,0.0175,1,-0.9825,-1.67151,0.0918255,-1.76333
5, 11.6162,0.0175,1,-0.9825,-0.18025,0.00336569,-0.183616
5, 12.6263,0.0175,1,-0.9825,-0.00600325,2.99847e-05,-0.00603324
5, 13.6364,0.0175,1,-0.9825,-5.22762e-05,6.49295e-08,-5.23412e-05
5, 14.6465,0.0175,1,-0.9825,-1.12633e-07,3.41743e-11,-1.12667e-07
5, 15.6566,0.0175,1,-0.9825,-5.92203e-11,4.37194e-15,-5.92246e-11
5, 16.6667,0.0175,1,-0.9825,-7.57459e-15,1.35945e-19,-7.57473e-15
5, 17.6768,0.0175,1,-0.9825,-2.35524e-19,1.02747e-24,-2.35525e-19
5, 18.6869,0.0175,1,-0.9825,-1.78008e-24,1.88751e-30,-1.78008e-24
5, 19.697,0.0175,1,-0.9825,-3.2701e-30,8.42802e-37,-3.27011e-30
5, 20.7071,0.0175,1,-0.9825,-1.46015e-36,9.14698e-44,-1.46015e-36
5, 21.7172,0.0175,1,-0.9825,-1.58471e-43,2.41294e-51,-1.58471e-43
5, 22.7273,0.0175,1,-0.9825,-4.18041e-51,1.54714e-59,-4.18041e-51
5, 23.7374,0.0175,1,-0.9825,-2.68042e-59,2.41118e-68,-2.68042e-59
5, 24.7475,0.0175,1,-0.9825,-4.17737e-68,9.13366e-78,-4.17737e-68
5, 25.7576,0.0175,1,-0.9825,-1.58241e-77,8.40961e-88,-1.58241e-77
5, 26.7677,0.0175,1,-0.9825,-1.45697e-87,1.88201e-98,-1.45697e-87
5, 27.7778,0.0175,1,-0.9825,-3.26059e-98,1.02373e-109,-3.26059e-98
5, 28.7879,0.0175,1,-0.9825,-1.77361e-109,1.35352e-121,-1.77361e-109
5, 29.798,0.0175,1,-0.9825,-2.34497e-121,4.34969e-134,-2.34497e-121
5, 30.8081,0.0175,1,-0.9825,-7.53583e-134,3.39756e-147,-7.53583e-134
5, 31.8182,0.0175,1,-0.9825,-5.88628e-147,6.4505e-161,-5.88628e-147
5, 32.8283,0.0175,1,-0.9825,-1.11755e-160,2.9767e-175,-1.11755e-160
5, 33.8384,0.0175,1,-0.9825,-5.15713e-175,3.33881e-190,-5.15713e-175
5, 34.8485,0.0175,1,-0.9825,-5.78449e-190,9.10258e-206,-5.78449e-190
5, 35.8586,0.0175,1,-0.9825,-1.57702e-205,6.03189e-222,-1.57702e-205
5, 36.8687,0.0175,1,-0.9825,-1.04502e-221,9.71533e-239,-1.04502e-221
5, 37.8788,0.0175,1,-0.9825,-1.68318e-238,3.80345e-256,-1.68318e-238
5, 38.8889,0.0175,1,-0.9825,-6.58948e-256,3.61921e-274,-6.58948e-256
5, 39.899,0.0175,1,-0.9825,-6.27028e-274,8.37077e-293,-6.27028e-274
5, 40.9091,0.0175,1,-0.9825,-1.45024e-292,4.70579e-312,-1.45024e-292
5, 41.9192,0.0175,1,-0.9825,-8.15278e-312,0,-8.15278e-312
5, 42.9293,0.0175,1,-0.9825,0,0,0
5, 43.9394,0.0175,1,-0.9825,0,0,0
5, 44.9495,0.0175,1,-0.9825,0,0,0
5, 45.9596,0.0175,1,-0.9825,0,0,0
5, 46.9697,0.0175,1,-0.9825,0,0,0
5, 47.9798,0.0175,1,-0.9825,0,0,0
5, 48.9899,0.0175,1,-0.9825,0,0,0
5, 50,0.0175,1,-0.9825,0,0,0
10, -50,0,0,0,0,0,0
10, -48.9899,0,0,0,0,0,0
10, -47.9798,0,0,0,0,0,0
10, -46.9697,0,0,0,0,0,0
10, -45.9596,0,0,0,0,0,0
10, -44.9495,0,0,0,0,0,0
10, -43.9394,0,0,0,0,0,0
10, -42.9293,0,0,0,0,0,0
10, -41.9192,0,0,0,0,0,0
10, -40.9091,0,0,0,0,0,0
10, -39.899,0,0,0,0,0,0
10, -38.8889,0,0,0,0,0,0
10, -37.8788,0,0,0,0,0,0
10, -36.8687,0,0,0,0,0,0
10, -35.8586,0,0,0,0,0,0
10, -34.8485,0,0,0,0,0,0
10, -33.8384,0,0,0,0,0,0
10, -32.8283,0,0,0,0,0,0
10, -31.8182,0,0,0,0,0,0
10, -30.8081,0,0,0,0,0,0
10, -29.798,0,0,0,0,0,0
10, -28.7879,0,0,0,0,0,0
10, -27.7778,0,0,0,0,0,0
10, -26.7677,0,0,0,0,0,0
10, -25.7576,0,0,0,0,0,0
10, -24.7475,0,0,0,0,0,0
10, -23.7374,0,0,0,0,0,0
10, -22.7273,0,0,0,0,0,0
10, -21.7172,0,0,0,0,0,0
10, -20.7071,0,0,0,0,0,0
10, -19.697,0,0,0,0,0,0
10, -18.6869,0,0,0,0,0,0
10, -17.6768,0,0,0,0,0,0
10, -16.6667,0,0,0,0,0,0
10, -15.6566,0,0,0,0,0,0
10, -14.6465,0,0,0,-6.81528e-311,8.26134e-312,-7.64141e-311
10, -13.6364,0,0,0,-1.19105e-291,1.44379e-292,-1.33543e-291
10, -12.6263,0,0,0,-5.05934e-273,6.13302e-274,-5.67264e-273
10, -11.6162,0,0,0,-5.2236e-255,6.33228e-256,-5.85683e-255
10, -10.6061,0,0,0,-1.31087e-237,1.58914e-238,-1.46978e-237
10, -9.59596,0,0,0,-7.99577e-221,9.69345e-222,-8.96512e-221
10, -8.58586,0,0,0,-1.18542e-204,1.43718e-205,-1.32914e-204
10, -7.57576,0,0,0,-4.27166e-189,5.17917e-190,-4.78957e-189
10, -6.56566,0,0,0,-3.74135e-174,4.53653e-175,-4.195e-174
10, -5.55556,0,0,0,-7.96464e-160,9.65838e-161,-8.93048e-160
10, -4.54545,0,0,0,-4.12106e-146,4.99804e-147,-4.62086e-146
10, -3.53535,0,0,0,-5.18266e-133,6.28654e-134,-5.81131e-133
10, -2.52525,0,0,0,-1.58414e-120,1.92194e-121,-1.77633e-120
10, -1.51515,0,0,0,-1.17686e-108,1.42818e-109,-1.31968e-108
10, -0.505051,0,0,0,-2.12491e-97,2.57953e-98,-2.38287e-97
10, 0.505051,0,0,0,-9.32468e-87,1.13244e-87,-1.04571e-86
10, 1.51515,0,0,0,-9.94471e-77,1.20839e-77,-1.11531e-76
10, 2.52525,0,0,0,-2.57752e-67,3.13409e-68,-2.89092e-67
10, 3.53535,0,0,0,-1.62347e-58,1.97576e-59,-1.82104e-58
10, 4.54545,0,0,0,-2.48482e-50,3.02741e-51,-2.78756e-50
10, 5.55556,0,0,0,-9.24118e-43,1.12752e-43,-1.03687e-42
10, 6.56566,0,0,0,-8.35029e-36,1.02069e-36,-9.37098e-36
10, 7.57576,0,0,0,-1.83302e-29,2.24584e-30,-2.05761e-29
10, 8.58586,0,0,0,-9.77383e-24,1.2011e-24,-1.09749e-23
10, 9.59596,0,0,0,-1.26564e-18,1.56133e-19,-1.42177e-18
10, 10.6061,0,0,0,-3.97922e-14,4.93319e-15,-4.47254e-14
10, 11.6162,0,0,0,-3.03667e-10,3.78857e-11,-3.41553e-10
10, 12.6263,0,0,0,-5.62278e-07,7.07195e-08,-6.32998e-07
10, 13.6364,0,0,0,-0.000252531,3.20862e-05,-0.000284617
10, 14.6465,0,0,0,-0.0275143,0.00353846,-0.0310527
10, 15.6566,0,0,0,-0.729248,0.0948473,-0.824096
10, 16.6667,0,0,0,-4.76815,0.617947,-5.3861
10, 17.6768,1.75,1,0.75,-8.14383,0.978574,-9.12241
10, 18.6869,0.0175,1,-0.9825,-4.31105,0.376662,-4.68771
10, 19.697,0.0175,1,-0.9825,-0.884503,0.0352392,-0.919743
10, 20.7071,0.0175,1,-0.9825,-0.0659549,0.000801337,-0.0667562
10, 21.7172,0.0175,1,-0.9825,-0.0014128,4.42915e-06,-0.00141722
10, 22.7273,0.0175,1,-0.9825,-7.7019e-06,5.95034e-09,-7.70785e-06
10, 23.7374,0.0175,1,-0.9825,-1.03164e-08,1.94303e-12,-1.03183e-08
10, 24.7475,0.0175,1,-0.9825,-3.36669e-12,1.54217e-16,-3.36684e-12
10, 25.7576,0.0175,1,-0.9825,-2.67183e-16,2.97509e-21,-2.67186e-16
10, 26.7677,0.0175,1,-0.9825,-5.15433e-21,1.39503e-26,-5.15434e-21
10, 27.7778,0.0175,1,-0.9825,-2.41689e-26,1.58995e-32,-2.41689e-26
10, 28.7879,0.0175,1,-0.9825,-2.75459e-32,4.40453e-39,-2.75459e-32
10, 29.798,0.0175,1,-0.9825,-7.63085e-39,2.96573e-46,-7.63085e-39
10, 30.8081,0.0175,1,-0.9825,-5.13812e-46,4.85376e-54,-5.13812e-46
10, 31.8182,0.0175,1,-0.9825,-8.40914e-54,1.93082e-62,-8.40914e-54
10, 32.8283,0.0175,1,-0.9825,-3.34514e-62,1.86689e-71,-3.34514e-62
10, 33.8384,0.0175,1,-0.9825,-3.23439e-71,4.38747e-81,-3.23439e-71
10, 34.8485,0.0175,1,-0.9825,-7.60129e-81,2.50625e-91,-7.60129e-81
10, 35.8586,0.0175,1,-0.9825,-4.34208e-91,3.47977e-102,-4.34208e-91
10, 36.8687,0.0175,1,-0.9825,-6.0287e-102,1.17433e-113,-6.0287e-102
10, 37.8788,0.0175,1,-0.9825,-2.03453e-113,9.63273e-126,-2.03453e-113
10, 38.8889,0.0175,1,-0.9825,-1.66887e-125,1.92054e-138,-1.66887e-125
10, 39.899,0.0175,1,-0.9825,-3.32733e-138,9.30704e-152,-3.32733e-138
10, 40.9091,0.0175,1,-0.9825,-1.61244e-151,1.09627e-165,-1.61244e-151
10, 41.9192,0.0175,1,-0.9825,-1.89928e-165,3.1386e-180,-1.89928e-165
10, 42.9293,0.0175,1,-0.9825,-5.43763e-180,2.1841e-195,-5.43763e-180
10, 43.9394,0.0175,1,-0.9825,-3.78396e-195,3.69424e-211,-3.78396e-195
10, 44.9495,0.0175,1,-0.9825,-6.40026e-211,1.51877e-227,-6.40026e-211
10, 45.9596,0.0175,1,-0.9825,-2.63127e-227,1.51766e-244,-2.63127e-227
10, 46.9697,0.0175,1,-0.9825,-2.62935e-244,3.68617e-262,-2.62935e-244
10, 47.9798,0.0175,1,-0.9825,-6.38628e-262,2.17616e-280,-6.38628e-262
10, 48.9899,0.0175,1,-0.9825,-3.77019e-280,3.12263e-299,-3.77019e-280
10, 50,0.0175,1,-0.9825,-5.40996e-299,1.0891e-318,-5.40996e-299
